"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2022_Q4",62,63,"mean",98,0.63828,"SP",1,50,12,0.092909905842944,-5.97936023238959,0
"2023_Q2",62,63,"mean",98,0.63828,"SP",1,50,12,-0.869142948037869,-4.84070476281448,-4.9597513183487
"2023_Q4",62,63,"mean",98,0.63828,"SP",1,50,12,-0.407857614077672,-5.74171416959018,-0.674393937684131
"2024_Q1",62,63,"mean",98,0.63828,"SP",1,50,12,-0.392896431211083,-4.48791767188115,-0.536254505287834
"2024_Q2",62,63,"mean",98,0.63828,"SP",1,50,12,-2.16897688383142,-6.0968445641924,-2.3260155501744
"2022_Q1",77,71,"mean",100,0.62521,"SP",1,50,12,39.7023914728724,-14.3369847364953,39.3201600624348
"2022_Q3",77,71,"mean",100,0.62521,"SP",1,50,12,-3.15436232219452,-0.738261423267823,-2.78235322805119
"2022_Q4",77,71,"mean",100,0.62521,"SP",1,50,12,4.489470398284,-7.84605338935278,4.24703614072423
"2023_Q2",77,71,"mean",100,0.62521,"SP",1,50,12,-3.80254364719648,-1.77398902330938,-7.53716981797343
"2023_Q4",77,71,"mean",100,0.62521,"SP",1,50,12,-3.34054866405546,-3.06157107546473,-3.58354988525683
"2024_Q1",77,71,"mean",100,0.62521,"SP",1,50,12,-0.869484135545765,-4.18960162214209,-1.00233224993826
"2024_Q2",77,71,"mean",100,0.62521,"SP",1,50,12,10.2732666857184,-9.39281458217398,9.98315075861449
"2022_Q1",46,72,"mean",100,0.69725,"SP",1,50,12,2.7559444445348,-8.79137163218246,2.70706030008779
"2022_Q3",46,72,"mean",100,0.69725,"SP",1,50,12,0,-6.88796929027106,-0.0740633217755718
"2022_Q4",46,72,"mean",100,0.69725,"SP",1,50,12,18.1920825833859,-10.4446833168482,17.6581945214643
"2023_Q2",46,72,"mean",100,0.69725,"SP",1,50,12,0,-8.51195669977274,-3.7765020500693
"2023_Q4",46,72,"mean",100,0.69725,"SP",1,50,12,1.36674210099415,-7.24435489295355,1.4379175765955
"2024_Q1",46,72,"mean",100,0.69725,"SP",1,50,12,0,-6.35711956536881,0
"2024_Q2",46,72,"mean",100,0.69725,"SP",1,50,12,-5.37317005956891,-0.593602982178154,-5.4434823319618
"2022_Q1",56,55,"mean",89,0.59005,"SP",1,50,12,5.098064142109,-9.47212603427033,4.97883796187316
"2022_Q3",56,55,"mean",89,0.59005,"SP",1,50,12,0,-6.73223201462391,0
"2022_Q4",56,55,"mean",89,0.59005,"SP",1,50,12,5.49984654332366,-8.66042157902978,5.17654970013447
"2023_Q2",56,55,"mean",89,0.59005,"SP",1,50,12,0,-7.56080884160582,-4.22772220252359
"2023_Q4",56,55,"mean",89,0.59005,"SP",1,50,12,0.716460019272357,-7.31003741303271,0.508324856352724
"2024_Q1",56,55,"mean",89,0.59005,"SP",1,50,12,-0.242238783048132,-7.0205437764254,-0.43647251856175
"2024_Q2",56,55,"mean",89,0.59005,"SP",1,50,12,-6.79323686433329,0,-6.82041655031615
"2022_Q1",73,39,"mean",79,0.72327,"SP",1,50,12,24.7225989081956,-12.5003846628274,19.5841960065059
"2022_Q3",73,39,"mean",79,0.72327,"SP",1,50,12,0.855599870356567,-11.4891614988136,-0.0187768291479584
"2022_Q4",73,39,"mean",79,0.72327,"SP",1,50,12,0,-7.19402285559759,0
